#Name      SMILES                                      T    P  Density   Weight     Hvap   Weight
# 103: t_vap < 250, not good
103        CCC                                       200    0    0.620     1.00     20.2     0.30
103        CCC                                       231    1    0.585     1.00     18.8     0.30
103        CCC                                       296    9    0.496     1.00     14.9     0.00
106        CCCCCC                                    203    0    0.735     1.00     37.2     0.30
106        CCCCCC                                    342    1    0.614     1.00     29.1     0.30
106        CCCCCC                                    406    6    0.543     1.00     23.9     0.00
109        CCCCCCCCC                                 245    0    0.754     1.00     48.6     0.30
109        CCCCCCCCC                                 424    1    0.608     1.00     37.1     0.30
109        CCCCCCCCC                                 476    3    0.554     1.00     32.4     0.00
112        CCCCCCCCCCCC                              289    0    0.751     1.00     61.0     0.30
112        CCCCCCCCCCCC                              489    1    0.594     1.00     44.4     0.30
112        CCCCCCCCCCCC                              526    2    0.556     1.00     40.1     0.00
115        CCCCCCCCCCCCCCC                           308    0    0.758     1.00     72.1     0.30
115        CCCCCCCCCCCCCCC                           544    1    0.572     1.00     49.5     0.30
115        CCCCCCCCCCCCCCC                           566    2    0.550     1.00     46.6     0.00
1C6        C1CCCCC1                                  305    0    0.767     1.00     33.2     0.30
1C6        C1CCCCC1                                  354    1    0.720     1.00     29.9     0.30
1C6        C1CCCCC1                                  443    8    0.620     1.00     22.4     0.00
