#Name      SMILES                                      T    P  Density   Weight     Hvap   Weight
# 102: dt < 100, not good
102        CC                                        113    1    0.615     1.00     17.7     0.20
102        CC                                        163    1    0.562     1.00     15.7     0.20
103        CCC                                       108    1    0.713     1.00     23.7     0.20
103        CCC                                       208    1    0.612     1.00     19.9     0.20
104        CCCC                                      154    1    0.716     1.00     27.9     0.20
104        CCCC                                      254    1    0.622     1.00     23.4     0.20
105        CCCCC                                     176    1    0.730     1.00     33.1     0.20
105        CCCCC                                     276    1    0.643     1.00     28.0     0.20
106        CCCCCC                                    210    1    0.730     1.00     36.8     0.20
106        CCCCCC                                    310    1    0.645     1.00     31.2     0.20
108        CCCCCCCC                                  258    1    0.729     1.00     45.3     0.20
108        CCCCCCCC                                  358    1    0.651     1.00     38.2     0.20
109        CCCCCCCCC                                 272    1    0.735     1.00     47.2     0.20
109        CCCCCCCCC                                 372    1    0.655     1.00     41.0     0.20
110        CCCCCCCCCC                                296    1    0.730     1.00     53.2     0.20
110        CCCCCCCCCC                                396    1    0.651     1.00     45.0     0.20
112        CCCCCCCCCCCC                              327    1    0.725     1.00     58.3     0.20
112        CCCCCCCCCCCC                              427    1    0.648     1.00     50.4     0.20
114        CCCCCCCCCCCCCC                            353    1    0.723     1.00     64.5     0.20
114        CCCCCCCCCCCCCC                            453    1    0.653     1.00     55.7     0.20
115        CCCCCCCCCCCCCCC                           364    1    0.719     1.00     67.7     0.20
115        CCCCCCCCCCCCCCC                           464    1    0.642     1.00     58.6     0.20
116        CCCCCCCCCCCCCCCC                          376    1    0.715     1.00     70.8     0.20
116        CCCCCCCCCCCCCCCC                          476    1    0.639     1.00     61.3     0.20
1C8        C1CCCCCCC1                                306    1    0.824     1.00     42.2     0.20
1C8        C1CCCCCCC1                                406    1    0.743     1.00     37.0     0.20
1C9        C1CCCCCCCC1                               318    1    0.832     1.00     46.1     0.20
1C9        C1CCCCCCCC1                               418    1    0.755     1.00     40.8     0.20
1C0        C1CCCCCCCCC1                              330    1    0.832     1.00     48.9     0.20
1C0        C1CCCCCCCCC1                              430    1    0.759     1.00     43.5     0.20
1C1        C1CCCCCCCCCC1                             323    1    0.843     1.00     51.9     0.20
1C1        C1CCCCCCCCCC1                             423    1    0.775     1.00     46.6     0.20
241        CC(C)C                                    138    1    0.712     1.00     27.2     0.20
241        CC(C)C                                    238    1    0.620     1.00     22.7     0.20
251        CC(C)CC                                   157    1    0.744     1.00     32.0     0.20
251        CC(C)CC                                   257    1    0.657     1.00     27.3     0.20
271        CC(C)CC(C)C                               204    1    0.740     1.00     38.4     0.20
271        CC(C)CC(C)C                               304    1    0.663     1.00     33.1     0.20
272        CC(C)(C)CCC                               201    1    0.752     1.00     37.3     0.20
272        CC(C)(C)CCC                               301    1    0.670     1.00     32.4     0.20
291        CC(C)CC(C)CCC                             233    1    0.759     1.00     46.1     0.20
291        CC(C)CC(C)CCC                             333    1    0.684     1.00     40.5     0.20
292        CC(C)(C)CC(C)(C)C                         251    1    0.751     1.00     40.8     0.20
292        CC(C)(C)CC(C)(C)C                         351    1    0.673     1.00     35.4     0.20
206        CCC(CC)(CC)CC                             250    1    0.784     1.00     44.4     0.20
206        CCC(CC)(CC)CC                             350    1    0.711     1.00     39.4     0.20
207        CC(C)(C)CC(CC)(C)CCC                      295    1    0.773     1.00     52.5     0.20
207        CC(C)(C)CC(CC)(C)CCC                      395    1    0.697     1.00     46.3     0.20
208        CCCCC(CCCC)CCCC                           318    1    0.745     1.00     55.7     0.20
208        CCCCC(CCCC)CCCC                           418    1    0.672     1.00     49.0     0.20
2C1        C1CCCCC1C                                 211    1    0.837     1.00     40.8     0.20
2C1        C1CCCCC1C                                 311    1    0.755     1.00     35.7     0.20
# 252: dt < 100, not good
252        CC(C)(C)C                                 245    1    0.642     1.00     24.8     0.20
252        CC(C)(C)C                                 295    1    0.590     1.00     22.0     0.20
# 212: dt < 100, not good
212        CC(C)(C)C(C)(C)C                          352    1    0.649     1.00     33.1     0.20
212        CC(C)(C)C(C)(C)C                          402    1    0.606     1.00     29.9     0.20
213        CC(C)(C)C(C)(C)C(C)(C)C                   292    1    0.811     1.00     48.5     0.20
213        CC(C)(C)C(C)(C)C(C)(C)C                   392    1    0.736     1.00     43.2     0.20
