No	IsomericSMILES	CAS	Tfus	Thvap	A	B	C	n	A	B	n
102	CC	74-84-0	90	185		0.2033	0.282919197	305.42	0.2833	21.342	305.42	0.403
103	CCC	74-98-6	85	231		0.2174	0.269476536	369.82	0.287	26.8896	369.82	0.365
104	CCCC	106-97-8	135		273		0.228	0.271893281	425.18	0.2863	33.0198	425.18	0.377
105	CCCCC	109-66-0	143		309		0.231	0.268737738	469.65	0.28215	39.8543	469.65	0.398
106	CCCCCC	110-54-3	178		342		0.233	0.266008533	507.43	0.2781	45.61	507.43	0.401
108	CCCCCCCC	111-65-9	216		399		0.2322	0.260242603	568.83	0.2694	59.0771	568.83	0.439
109	CCCCCCCCC	111-84-2	220		424		0.2342	0.256411878	595.65	0.28571	59.3778	595.65	0.377
110	CCCCCCCCCC	124-18-5	244		447		0.2359	0.256675323	618.45	0.2857	71.4282	618.45	0.451
112	CCCCCCCCCCCC	112-40-3	264		489		0.2344	0.252309562	658.2	0.2896	77.1658	658.2	0.407
114	CCCCCCCCCCCCCC	629-59-4	279		527		0.2354	0.255606575	692.4	0.27348	86.8851	692.4	0.418
115	CCCCCCCCCCCCCCC	629-62-9	283		544		0.2414	0.25378015	706.8	0.31579	91.6669	706.8	0.419
116	CCCCCCCCCCCCCCCC	544-76-3	291		560		0.2435	0.254465081	720.6	0.3238	96.68	720.6	0.422
1C8	C1CCCCCCC1	292-64-8	288		424		0.2737	0.266222331	647.2	0.28571	53.8579	647.2	0.38
1C9	C1CCCCCCCC1	293-55-0	284		452		0.276240525	0.267289154	682	0.285714286	58.51569655	682	0.38
1C0	C1CCCCCCCCC1	293-96-9	284		475		0.277211067	0.268556652	709	0.285714286	62.04143339	709	0.38
1C1	C1CCCCCCCCCC1	294-41-7	251		494		0.282851842	0.274986788	728.7810633	0.285714286	64.80824931	728.7810633	0.38
241	CC(C)C	75-28-5	114		261		0.2213	0.270507378	408.14	0.27301	31.9538	408.14	0.392
251	CC(C)CC	78-78-4	113		301		0.2359	0.274070832	460.43	0.28673	37.692	460.43	0.395
271	CC(C)CC(C)C	108-08-7	154		354		0.2397	0.275389146	519.79	0.2695	46.86	519.79	0.397
272	CC(C)(C)CCC	590-35-2	149		352		0.2409	0.270643707	520.5	0.283	44.8019	520.5	0.377
291	CC(C)CC(C)CCC	2213-23-2	160		406		0.2481	0.273597728	576.8	0.28571	56.1492	576.8	0.38
292	CC(C)(C)CC(C)(C)C	1070-87-7	207		395		0.2545	0.278685041	571.35	0.28631	50.7873	571.35	0.378
206	CCC(CC)(CC)CC	1067-20-5	171		429		0.2712	0.289821395	610.05	0.29339	53.6222	610.05	0.36
207	CC(C)(C)CC(CC)(C)CCC	62199-08-0	222		467		0.248487877	0.259095839	647.5719331	0.285714286	66.20465582	647.5719331	0.38
208	CCCCC(CCCC)CCCC	17312-63-9	245		491		0.243639401	0.26031785	666.505108	0.285714286	71.32115945	666.505108	0.38
2C1	C1CCCCC1C	108-87-2	147		374		0.2668	0.270280415	572.19	0.2927	49.4195	572.19	0.415
252	CC(C)(C)C	463-82-1	257		283		0.2377	0.28168448	433.78	0.29195	34.0604	433.78	0.383
212	CC(C)(C)C(C)(C)C	594-82-1	374		379		0.2474	0.280149096	567.8	0.28571	47.8049	567.8	0.38
213	CC(C)(C)C(C)(C)C(C)(C)C	60302-27-4	216		467		0.252726855	0.253504455	672.5588184	0.285714286	60.26564646	672.5588184	0.38

