#Name      SMILES                                      T    P  Density   Weight     Hvap   Weight
# 102: dt < 100, not good
102        CC                                        113    1    0.615     1.00     17.7     0.20
102        CC                                        163    1    0.562     1.00     15.7     0.20
103        CCC                                       108    1    0.713     1.00     23.7     0.20
103        CCC                                       208    1    0.612     1.00     19.9     0.20
104        CCCC                                      154    1    0.716     1.00     27.9     0.20
104        CCCC                                      254    1    0.622     1.00     23.4     0.20
105        CCCCC                                     176    1    0.730     1.00     33.1     0.20
105        CCCCC                                     276    1    0.643     1.00     28.0     0.20
106        CCCCCC                                    210    1    0.730     1.00     36.8     0.20
106        CCCCCC                                    310    1    0.645     1.00     31.2     0.20
107        CCCCCCC                                   228    1    0.738     1.00     40.2     0.20
107        CCCCCCC                                   328    1    0.656     1.00     34.7     0.20
108        CCCCCCCC                                  258    1    0.729     1.00     45.3     0.20
108        CCCCCCCC                                  358    1    0.651     1.00     38.2     0.20
109        CCCCCCCCC                                 272    1    0.735     1.00     47.2     0.20
109        CCCCCCCCC                                 372    1    0.655     1.00     41.0     0.20
110        CCCCCCCCCC                                296    1    0.730     1.00     53.2     0.20
110        CCCCCCCCCC                                396    1    0.651     1.00     45.0     0.20
111        CCCCCCCCCCC                               309    1    0.729     1.00     55.9     0.20
111        CCCCCCCCCCC                               409    1    0.653     1.00     48.2     0.20
112        CCCCCCCCCCCC                              327    1    0.725     1.00     58.3     0.20
112        CCCCCCCCCCCC                              427    1    0.648     1.00     50.4     0.20
113        CCCCCCCCCCCCC                             339    1    0.724     1.00     61.3     0.20
113        CCCCCCCCCCCCC                             439    1    0.645     1.00     52.9     0.20
114        CCCCCCCCCCCCCC                            353    1    0.723     1.00     64.5     0.20
114        CCCCCCCCCCCCCC                            453    1    0.653     1.00     55.7     0.20
115        CCCCCCCCCCCCCCC                           364    1    0.719     1.00     67.7     0.20
115        CCCCCCCCCCCCCCC                           464    1    0.642     1.00     58.6     0.20
# 1C6: dt < 100, not good
1C6        C1CCCCC1                                  292    1    0.778     1.00     34.1     0.20
1C6        C1CCCCC1                                  342    1    0.732     1.00     30.7     0.20
1C7        C1CCCCCC1                                 279    1    0.821     1.00     39.5     0.20
1C7        C1CCCCCC1                                 379    1    0.736     1.00     34.3     0.20
1C8        C1CCCCCCC1                                306    1    0.824     1.00     42.2     0.20
1C8        C1CCCCCCC1                                406    1    0.743     1.00     37.0     0.20
1C9        C1CCCCCCCC1                               318    1    0.832     1.00     46.1     0.20
1C9        C1CCCCCCCC1                               418    1    0.755     1.00     40.8     0.20
1C0        C1CCCCCCCCC1                              330    1    0.832     1.00     48.9     0.20
1C0        C1CCCCCCCCC1                              430    1    0.759     1.00     43.5     0.20
201        CC(C)C                                    138    1    0.712     1.00     27.2     0.20
201        CC(C)C                                    238    1    0.620     1.00     22.7     0.20
202        CCC(C)C                                   157    1    0.744     1.00     32.0     0.20
202        CCC(C)C                                   257    1    0.657     1.00     27.3     0.20
203        CCC(C)(C)C                                199    1    0.728     1.00     32.6     0.20
203        CCC(C)(C)C                                299    1    0.643     1.00     27.8     0.20
204        CCC(C)CC                                  173    1    0.764     1.00     36.8     0.20
204        CCC(C)CC                                  273    1    0.683     1.00     32.0     0.20
205        CCCC(C)C                                  177    1    0.751     1.00     36.1     0.20
205        CCCC(C)C                                  277    1    0.667     1.00     31.3     0.20
206        CCCCC(C)C                                 209    1    0.744     1.00     40.7     0.20
206        CCCCC(C)C                                 309    1    0.665     1.00     34.9     0.20
207        CCCC(C)(C)C                               201    1    0.752     1.00     37.3     0.20
207        CCCC(C)(C)C                               301    1    0.670     1.00     32.4     0.20
208        CCC(C)C(C)C                               215    1    0.752     1.00     38.6     0.20
208        CCC(C)C(C)C                               315    1    0.678     1.00     33.5     0.20
209        CC(C)CC(C)C                               204    1    0.740     1.00     38.4     0.20
209        CC(C)CC(C)C                               304    1    0.663     1.00     33.1     0.20
210        CCC(C)(C)CC                               199    1    0.773     1.00     38.0     0.20
210        CCC(C)(C)CC                               299    1    0.686     1.00     33.2     0.20
211        CC(C)C(C)(C)C                             252    1    0.724     1.00     34.3     0.20
211        CC(C)C(C)(C)C                             352    1    0.640     1.00     29.1     0.20
212        CCCC(CC)CC                                237    1    0.753     1.00     42.9     0.20
212        CCCC(CC)CC                                337    1    0.680     1.00     37.4     0.20
213        CCC(CC)C(C)C                              224    1    0.765     1.00     42.3     0.20
213        CCC(CC)C(C)C                              324    1    0.691     1.00     37.1     0.20
214        CCCCC(C)(C)CC                             241    1    0.763     1.00     45.2     0.20
214        CCCCC(C)(C)CC                             341    1    0.689     1.00     39.7     0.20
215        CCC(C)C(CC)CC                             237    1    0.779     1.00     47.2     0.20
215        CCC(C)C(CC)CC                             337    1    0.707     1.00     41.6     0.20
216        CCC(CC)(CC)CC                             250    1    0.784     1.00     44.4     0.20
216        CCC(CC)(CC)CC                             350    1    0.711     1.00     39.4     0.20
217        CCCC(CCC)CCC                              275    1    0.748     1.00     48.8     0.20
217        CCCC(CCC)CCC                              375    1    0.674     1.00     42.4     0.20
218        CC(C)C(C(C)C)C(C)C                        261    1    0.779     1.00     46.6     0.20
218        CC(C)C(C(C)C)C(C)C                        361    1    0.708     1.00     41.0     0.20
219        CCCC(C)(C)CC(C)(C)C                       280    1    0.764     1.00     47.6     0.20
219        CCCC(C)(C)CC(C)(C)C                       380    1    0.688     1.00     41.8     0.20
220        CCCCC(CCCC)C(C)C                          297    1    0.757     1.00     54.0     0.20
220        CCCCC(CCCC)C(C)C                          397    1    0.680     1.00     47.3     0.20
