#No	IsomericSMILES	CAS	Tfus	Tvap	A	B	C	n	A2	B3	n4
102	CC	74-84-0	90	185		0.2033	0.282919197	305.42	0.2833	21.342	305.42	0.403
103	CCC	74-98-6	85	231		0.2174	0.269476536	369.82	0.287	26.8896	369.82	0.365
104	CCCC	106-97-8	135		273		0.228	0.271893281	425.18	0.2863	33.0198	425.18	0.377
105	CCCCC	109-66-0	143		309		0.231	0.268737738	469.65	0.28215	39.8543	469.65	0.398
106	CCCCCC	110-54-3	178		342		0.233	0.266008533	507.43	0.2781	45.61	507.43	0.401
107	CCCCCCC	142-82-5	183		372		0.232	0.2594867	540.26	0.2791	49.73	540.26	0.386
108	CCCCCCCC	111-65-9	216		399		0.2322	0.260242603	568.83	0.2694	59.0771	568.83	0.439
109	CCCCCCCCC	111-84-2	220		424		0.2342	0.256411878	595.65	0.28571	59.3778	595.65	0.377
110	CCCCCCCCCC	124-18-5	244		447		0.2359	0.256675323	618.45	0.2857	71.4282	618.45	0.451
111	CCCCCCCCCCC	1120-21-4	248		469		0.2379	0.258394647	638.76	0.28571	73.511	638.76	0.413
112	CCCCCCCCCCCC	112-40-3	264		489		0.2344	0.252309562	658.2	0.2896	77.1658	658.2	0.407
113	CCCCCCCCCCCCC	629-50-5	268		509		0.2394	0.252672137	675.8	0.312	81.8771	675.8	0.416
114	CCCCCCCCCCCCCC	629-59-4	279		527		0.2354	0.255606575	692.4	0.27348	86.8851	692.4	0.418
115	CCCCCCCCCCCCCCC	629-62-9	283		544		0.2414	0.25378015	706.8	0.31579	91.6669	706.8	0.419
1C6	C1CCCCC1	110-82-7	280		354		0.2734	0.273676968	553.54	0.28511	49.0595	553.54	0.486
1C7	C1CCCCCC1	291-64-5	265		392		0.2735	0.269134766	604.3	0.28571	50.0209	604.3	0.382
1C8	C1CCCCCCC1	292-64-8	288		424		0.2737	0.266222331	647.2	0.28571	53.8579	647.2	0.38
1C9	C1CCCCCCCC1	293-55-0	284		452		0.276240525	0.267289154	682	0.285714286	58.51569655	682	0.38
1C0	C1CCCCCCCCC1	293-96-9	284		475		0.277211067	0.268556652	709	0.285714286	62.04143339	709	0.38
201	CC(C)C	75-28-5	114		261		0.2213	0.270507378	408.14	0.27301	31.9538	408.14	0.392
202	CCC(C)C	78-78-4	113		301		0.2359	0.274070832	460.43	0.28673	37.692	460.43	0.395
203	CCC(C)(C)C	75-83-2	174		323		0.2402	0.277034549	488.78	0.2799	39.6988	488.78	0.377
204	CCC(C)CC	96-14-0	110		336		0.2352	0.265969132	504.43	0.27917	43.2499	504.43	0.387
205	CCCC(C)C	107-83-5	120		333		0.2352	0.26818828	497.5	0.2857	42.78	497.5	0.384
206	CCCCC(C)C	591-76-4	155		363		0.238	0.269629588	530.37	0.279	49.9169	530.37	0.408
207	CCCC(C)(C)C	590-35-2	149		352		0.2409	0.270643707	520.5	0.283	44.8019	520.5	0.377
208	CCC(C)C(C)C	565-59-3	166		363		0.255	0.288904687	537.35	0.2713	46.8658	537.35	0.382
209	CC(C)CC(C)C	108-08-7	154		354		0.2397	0.275389146	519.79	0.2695	46.86	519.79	0.397
210	CCC(C)(C)CC	562-49-2	139		359		0.242	0.261811743	536.4	0.3084	45.3501	536.4	0.381
211	CC(C)C(C)(C)C	464-06-2	249		354		0.2518	0.282479095	531.17	0.28	43.5996	531.17	0.372
212	CCCC(CC)CC	619-99-8	182		392		0.251	0.281143712	565.4	0.2657	52.754	565.4	0.38
213	CCC(CC)C(C)C	609-26-7	158		389		0.2565	0.283138765	567	0.28571	51.179	567	0.38
214	CCCCC(C)(C)CC	4032-86-4	171		410		0.253097059	0.277488686	588.8529412	0.285714286	55.15526193	588.8529412	0.38
215	CCC(C)C(CC)CC	3074-77-9	160		414		0.2617	0.283065731	593.7	0.28571	57.2713	593.7	0.38
216	CCC(CC)(CC)CC	1067-20-5	171		429		0.2712	0.289821395	610.05	0.29339	53.6222	610.05	0.36
217	CCCC(CCC)CCC	3178-29-8	219		431		0.2611	0.285402246	601	0.28571	61.5431	601	0.38
218	CC(C)C(C(C)C)C(C)C	13475-79-1	191		430		0.2731	0.292952721	614.4	0.28571	57.4663	614.4	0.38
219	CCCC(C)(C)CC(C)(C)C	61868-44-8	216		443		0.248310659	0.263887818	624.7238594	0.285714286	59.68268679	624.7238594	0.38
220	CCCCC(CCCC)C(C)C	62184-72-9	222		471		0.244915083	0.259532781	638.0150189	0.285714286	68.45129823	638.0150189	0.38
