#Name      SMILES                                      T    P    Density     Weight       Hvap     Weight
11         CC                                        100    1      0.628       1.37      18.19       0.25
11         CC                                        175    1      0.548       1.54      15.15       0.25
12         CCCC                                      145    1      0.724       1.47      28.22       0.25
12         CCCC                                      263    1      0.613       1.84      22.96       0.25
13         CCCCCC                                    188    1      0.746       1.58      37.88       0.25
13         CCCCCC                                    332    1      0.624       1.84      29.79       0.25
14         CCCCCCCCC                                 230    1      0.765       1.71      49.40       0.25
14         CCCCCCCCC                                 414    1      0.617       1.56      37.95       0.25
15         CCCCCCCCCCCC                              274    1      0.762       1.89      61.98       0.25
15         CCCCCCCCCCCC                              479    1      0.603       1.40      45.44       0.25
16         CCCCCCCCCCCCCCCC                          301    1      0.768       1.99      76.95       0.25
16         CCCCCCCCCCCCCCCC                          550    1      0.574       1.28      52.64       0.25
17         C1CCCCC1                                  290    1      0.780       1.96      34.20       0.25
17         C1CCCCC1                                  344    1      0.730       1.79      30.60       0.25
18         C1CCCCCCC1                                298    1      0.830       2.00      42.60       0.25
18         C1CCCCCCC1                                414    1      0.736       1.56      36.54       0.25
